Distance,Log_Entropy
202.0,0.54234
212.0,0.53937
232.0,0.53294
262.0,0.52422
312.0,0.51775
362.0,0.51359
422.0,0.51664
492.0,0.52211
562.0,0.53341
622.0,0.5475
682.0,0.56581
644.0,0.5489
594.0,0.54114
544.0,0.53133
484.0,0.52509
424.0,0.51608
364.0,0.51285
294.0,0.51946
234.0,0.53101
224.0,0.53696
294.0,0.51938
364.0,0.51235
424.0,0.51519
484.0,0.52412
544.0,0.53052
604.0,0.54329
654.0,0.55361
682.0,0.56571
632.0,0.54881
582.0,0.53574
532.0,0.52728
482.0,0.51885
432.0,0.51506
382.0,0.51695
322.0,0.51573
272.0,0.52243
212.0,0.53871
236.0,0.52968
296.0,0.5168
356.0,0.51479
416.0,0.51485
476.0,0.52073
536.0,0.5318
596.0,0.54225
656.0,0.55639
680.0,0.56257
620.0,0.54441
560.0,0.53268
510.0,0.5274
460.0,0.52023
400.0,0.51416
340.0,0.51584
290.0,0.51927
230.0,0.53404
228.0,0.53554
288.0,0.51861
348.0,0.51427
408.0,0.5157
458.0,0.51686
518.0,0.52528
568.0,0.53529
618.0,0.54852
678.0,0.56324
658.0,0.5557
608.0,0.54227
558.0,0.53471
508.0,0.52539
458.0,0.51777
408.0,0.51556
348.0,0.51395
298.0,0.51965
248.0,0.52798
210.0,0.5401
260.0,0.52934
330.0,0.51497
390.0,0.51514
450.0,0.51669
510.0,0.52523
560.0,0.5307
620.0,0.5454
670.0,0.55747
666.0,0.55981
606.0,0.54161
546.0,0.53099
496.0,0.52279
446.0,0.51784
396.0,0.5143
336.0,0.51418
276.0,0.52125
226.0,0.53494
232.0,0.53123
292.0,0.5186
342.0,0.51366
392.0,0.51649
452.0,0.51736
502.0,0.52527
562.0,0.53536
612.0,0.5439
662.0,0.55769
674.0,0.56289
624.0,0.54941
574.0,0.53726
514.0,0.52858
464.0,0.51838
414.0,0.51799
364.0,0.51355
304.0,0.51956
244.0,0.52852
214.0,0.54187
274.0,0.52254
334.0,0.51606
394.0,0.51317
454.0,0.52029
504.0,0.52437
554.0,0.52927
604.0,0.53989
664.0,0.55887
672.0,0.55843
622.0,0.54724
572.0,0.5376
522.0,0.52478
472.0,0.51913
422.0,0.51811
372.0,0.51344
322.0,0.51741
262.0,0.52513
202.0,0.54646
256.0,0.52411
316.0,0.51674
376.0,0.5134
436.0,0.51544
496.0,0.51951
546.0,0.53399
606.0,0.54468
656.0,0.55744
680.0,0.56107
630.0,0.55214
580.0,0.53784
530.0,0.52686
480.0,0.51906
430.0,0.51631
370.0,0.51467
320.0,0.51294
270.0,0.52502
210.0,0.54134
238.0,0.52996
288.0,0.52073
348.0,0.5147
408.0,0.51589
468.0,0.52229
528.0,0.52794
578.0,0.53616
628.0,0.54641
678.0,0.56285
658.0,0.5585
608.0,0.54465
558.0,0.53377
508.0,0.52539
448.0,0.51783
398.0,0.51381
338.0,0.51533
278.0,0.5218
228.0,0.53442
230.0,0.53129
290.0,0.51675
340.0,0.51624
400.0,0.51643
450.0,0.51923
510.0,0.52314
570.0,0.53602
620.0,0.54607
670.0,0.56015
666.0,0.55809
616.0,0.54302
556.0,0.53224
506.0,0.52386
456.0,0.51684
406.0,0.51707
356.0,0.51714
296.0,0.51754
236.0,0.5288
212.0,0.53984
272.0,0.52084
332.0,0.51259
392.0,0.51436
462.0,0.52005
522.0,0.5236
582.0,0.53436
642.0,0.55058
692.0,0.56795
644.0,0.5526
594.0,0.54132
544.0,0.53328
494.0,0.52108
444.0,0.51794
394.0,0.5184
334.0,0.51325
284.0,0.51976
224.0,0.5377
234.0,0.53442
294.0,0.519
354.0,0.51325
414.0,0.51408
464.0,0.51825
524.0,0.52507
574.0,0.53432
634.0,0.5502
692.0,0.56667
642.0,0.55077
592.0,0.5393
542.0,0.53104
492.0,0.52553
432.0,0.51581
372.0,0.51273
312.0,0.51524
252.0,0.52331
206.0,0.5428
266.0,0.52206
326.0,0.51555
386.0,0.51766
436.0,0.51658
486.0,0.52446
546.0,0.53226
606.0,0.54499
656.0,0.55637
680.0,0.56356
630.0,0.54735
580.0,0.53429
530.0,0.52983
480.0,0.52253
430.0,0.51471
370.0,0.51277
320.0,0.51642
260.0,0.52266
210.0,0.54275
248.0,0.5276
308.0,0.51657
358.0,0.51484
418.0,0.51782
478.0,0.51863
538.0,0.53131
598.0,0.54052
658.0,0.55436
678.0,0.56349
628.0,0.54425
578.0,0.53483
528.0,0.52733
468.0,0.52041
418.0,0.51565
368.0,0.51256
308.0,0.51294
248.0,0.52955
210.0,0.54227
280.0,0.51925
340.0,0.5135
400.0,0.51757
460.0,0.52044
520.0,0.52397
580.0,0.53566
630.0,0.5467
680.0,0.56121
656.0,0.55479
606.0,0.54298
556.0,0.53197
506.0,0.52521
456.0,0.51967
396.0,0.5153
336.0,0.51239
276.0,0.52095
216.0,0.54116
242.0,0.5296
302.0,0.51658
362.0,0.51472
422.0,0.51627
472.0,0.51686
532.0,0.5294
592.0,0.53581
642.0,0.55272
684.0,0.56411
634.0,0.5487
584.0,0.538
534.0,0.52747
484.0,0.52071
424.0,0.51624
374.0,0.51535
324.0,0.5139
264.0,0.52313
204.0,0.54421
254.0,0.52658
314.0,0.51733
374.0,0.51479
424.0,0.51667
484.0,0.51963
534.0,0.52712
594.0,0.54183
654.0,0.5565
682.0,0.56384
672.0,0.56497
662.0,0.55701
642.0,0.55356
612.0,0.54235
572.0,0.53656
522.0,0.52774
472.0,0.52115
412.0,0.51828
362.0,0.51293
302.0,0.51643
242.0,0.52927
216.0,0.53766
276.0,0.51964
336.0,0.5151
396.0,0.51471
446.0,0.51632
506.0,0.52514
566.0,0.53368
616.0,0.54556
676.0,0.56169
650.0,0.55529
600.0,0.54329
550.0,0.53358
490.0,0.5233
440.0,0.51883
390.0,0.51474
340.0,0.51457
280.0,0.52116
230.0,0.5343
218.0,0.5401
268.0,0.52589
328.0,0.51567
388.0,0.5128
438.0,0.51503
498.0,0.52675
548.0,0.53229
608.0,0.54369
658.0,0.55488
678.0,0.56006
628.0,0.54524
578.0,0.53813
528.0,0.52953
478.0,0.51984
428.0,0.51299
368.0,0.51592
318.0,0.51576
268.0,0.52229
208.0,0.5426
260.0,0.52464
320.0,0.51796
380.0,0.51207
440.0,0.51823
500.0,0.52736
550.0,0.53202
610.0,0.54373
660.0,0.5549
666.0,0.56001
616.0,0.54353
566.0,0.53268
516.0,0.52363
466.0,0.51831
416.0,0.51824
366.0,0.51241
316.0,0.51768
256.0,0.52757
202.0,0.54667
252.0,0.52932
312.0,0.51718
362.0,0.51506
422.0,0.514
482.0,0.52373
532.0,0.52874
592.0,0.53928
652.0,0.55445
674.0,0.56374
614.0,0.54395
554.0,0.53279
494.0,0.5238
444.0,0.51804
394.0,0.5147
334.0,0.5148
274.0,0.51858
224.0,0.5365
234.0,0.53149
294.0,0.51733
344.0,0.51455
404.0,0.51452
464.0,0.52038
524.0,0.52395
584.0,0.53876
644.0,0.5517
692.0,0.568
642.0,0.55203
592.0,0.53841
542.0,0.52966
492.0,0.51853
442.0,0.51811
392.0,0.51551
342.0,0.51581
282.0,0.52083
222.0,0.535
246.0,0.52949
316.0,0.51756
376.0,0.51653
436.0,0.5149
496.0,0.52519
546.0,0.52909
606.0,0.54511
666.0,0.56198
660.0,0.55816
600.0,0.53984
550.0,0.53135
500.0,0.52347
450.0,0.51917
390.0,0.51431
340.0,0.5144
290.0,0.51876
230.0,0.53334
218.0,0.53958
278.0,0.51829
338.0,0.51464
388.0,0.51778
448.0,0.51756
498.0,0.52168
