Distance,Entropy
152.0,0.663619
152.0,0.663858
154.0,0.661746
156.0,0.660982
158.0,0.659665
160.0,0.657983
162.0,0.658379
164.0,0.656819
166.0,0.655923
168.0,0.65523
170.0,0.654067
172.0,0.653433
174.0,0.652564
176.0,0.651027
178.0,0.650034
180.0,0.650873
182.0,0.649979
184.0,0.649008
186.0,0.647882
188.0,0.64789
190.0,0.646411
192.0,0.64653
194.0,0.645638
196.0,0.646202
198.0,0.645148
200.0,0.64413
202.0,0.644099
204.0,0.64401
206.0,0.642799
208.0,0.642788
210.0,0.642778
212.0,0.64101
214.0,0.641388
216.0,0.641251
218.0,0.639304
220.0,0.640041
222.0,0.63936
224.0,0.640105
226.0,0.639226
228.0,0.638718
230.0,0.63785
232.0,0.638219
234.0,0.637659
236.0,0.637958
238.0,0.637909
240.0,0.63618
242.0,0.637253
244.0,0.636602
246.0,0.63668
248.0,0.635449
250.0,0.636009
252.0,0.635141
254.0,0.635907
256.0,0.635309
258.0,0.634909
260.0,0.634768
262.0,0.633801
264.0,0.633743
266.0,0.63459
268.0,0.635092
270.0,0.633869
272.0,0.634192
274.0,0.634026
276.0,0.633898
278.0,0.633884
280.0,0.633883
282.0,0.632983
284.0,0.633153
286.0,0.63276
288.0,0.633523
290.0,0.632571
292.0,0.632115
294.0,0.632091
296.0,0.632557
298.0,0.631715
300.0,0.632114
302.0,0.632899
304.0,0.632283
306.0,0.63213
308.0,0.632024
310.0,0.631145
312.0,0.631032
314.0,0.631191
316.0,0.631196
318.0,0.631644
320.0,0.631371
322.0,0.632495
324.0,0.631541
326.0,0.631881
328.0,0.630787
330.0,0.631383
332.0,0.63123
334.0,0.631532
336.0,0.6307
338.0,0.631424
340.0,0.630857
342.0,0.632032
344.0,0.631414
346.0,0.631714
348.0,0.631667
350.0,0.631663
352.0,0.631579
354.0,0.632252
356.0,0.631236
358.0,0.631503
360.0,0.632066
362.0,0.631087
364.0,0.631234
366.0,0.63175
368.0,0.631531
370.0,0.632547
372.0,0.632218
374.0,0.631524
376.0,0.632836
378.0,0.633035
380.0,0.632038
382.0,0.631438
384.0,0.632291
386.0,0.632083
388.0,0.633107
390.0,0.631743
392.0,0.632996
394.0,0.633151
396.0,0.63166
398.0,0.632282
400.0,0.633122
402.0,0.63313
404.0,0.632833
406.0,0.633158
408.0,0.633371
410.0,0.633631
412.0,0.632784
414.0,0.633054
416.0,0.633599
418.0,0.632922
420.0,0.633974
422.0,0.633525
424.0,0.633568
426.0,0.633956
428.0,0.634287
430.0,0.634214
432.0,0.634618
434.0,0.63412
436.0,0.635127
438.0,0.635038
440.0,0.635727
442.0,0.635244
444.0,0.634506
446.0,0.635298
448.0,0.636295
450.0,0.636662
452.0,0.635664
454.0,0.636482
456.0,0.635845
458.0,0.636381
460.0,0.63565
462.0,0.636104
464.0,0.636065
466.0,0.63735
468.0,0.637019
470.0,0.637621
472.0,0.637387
474.0,0.63821
476.0,0.637731
478.0,0.637782
480.0,0.638275
482.0,0.638515
484.0,0.638571
486.0,0.638624
488.0,0.638336
490.0,0.639552
492.0,0.639836
494.0,0.639389
498.0,0.639499
500.0,0.639963
502.0,0.639534
504.0,0.639719
506.0,0.640932
508.0,0.641297
510.0,0.641841
512.0,0.641529
514.0,0.641779
516.0,0.641611
518.0,0.642186
520.0,0.641569
522.0,0.641967
524.0,0.642271
526.0,0.642937
528.0,0.6427
530.0,0.643128
532.0,0.643612
534.0,0.643692
536.0,0.644131
538.0,0.645027
540.0,0.644337
542.0,0.645595
544.0,0.645106
546.0,0.645278
548.0,0.645762
550.0,0.645
552.0,0.64611
554.0,0.646155
556.0,0.646681
558.0,0.647234
560.0,0.647353
562.0,0.647595
564.0,0.648019
566.0,0.647884
568.0,0.647908
570.0,0.649306
572.0,0.648605
574.0,0.649036
576.0,0.649745
578.0,0.649833
580.0,0.650549
582.0,0.65052
584.0,0.650606
586.0,0.651318
588.0,0.651394
590.0,0.652012
592.0,0.651872
594.0,0.652861
596.0,0.652785
598.0,0.653
600.0,0.653012
602.0,0.653234
604.0,0.653213
606.0,0.653217
608.0,0.65536
610.0,0.653817
612.0,0.655347
614.0,0.655169
616.0,0.655956
618.0,0.654567
620.0,0.655666
622.0,0.657244
624.0,0.656592
626.0,0.657535
628.0,0.657566
630.0,0.658498
632.0,0.658332
634.0,0.658622
636.0,0.659995
638.0,0.660014
640.0,0.659214
642.0,0.660846
644.0,0.659917
646.0,0.660586
648.0,0.660739
650.0,0.661619
652.0,0.66113
654.0,0.662172
656.0,0.662692
658.0,0.663721
662.0,0.663554
664.0,0.66476
666.0,0.665037
668.0,0.664918
670.0,0.665307
672.0,0.666232
674.0,0.665639
676.0,0.666244
678.0,0.667323
680.0,0.667536
682.0,0.66727
684.0,0.667615
686.0,0.668173
688.0,0.669204
690.0,0.669404
692.0,0.669798
694.0,0.670451
696.0,0.671312
698.0,0.671024
700.0,0.671932
702.0,0.672005
704.0,0.672749
706.0,0.672954
708.0,0.673692
710.0,0.673622
712.0,0.675068
714.0,0.676163
716.0,0.675922
718.0,0.67687
720.0,0.676433
722.0,0.677686
724.0,0.67773
726.0,0.678269
728.0,0.679053
730.0,0.678863
732.0,0.6795
734.0,0.679787
736.0,0.681001
738.0,0.681429
740.0,0.682506
742.0,0.683255
744.0,0.68254
746.0,0.683527
748.0,0.684089
750.0,0.684165
752.0,0.685362
754.0,0.685108
756.0,0.685647
758.0,0.687225
760.0,0.68781
762.0,0.68829
