Distance,Entropy
152.0,0.65586
154.0,0.654578
156.0,0.653229
158.0,0.651526
160.0,0.650861
162.0,0.64992
164.0,0.649352
166.0,0.648514
168.0,0.646694
170.0,0.645374
172.0,0.645312
174.0,0.644208
176.0,0.644739
178.0,0.642822
180.0,0.642977
182.0,0.641351
184.0,0.641622
186.0,0.639848
188.0,0.639468
190.0,0.639358
192.0,0.638983
194.0,0.638237
196.0,0.637913
198.0,0.637179
200.0,0.636831
202.0,0.636111
204.0,0.63475
206.0,0.635001
208.0,0.634574
210.0,0.633168
212.0,0.634132
214.0,0.6331
216.0,0.632341
218.0,0.631484
220.0,0.631566
222.0,0.632048
224.0,0.632437
226.0,0.630685
228.0,0.631841
230.0,0.630673
232.0,0.630863
234.0,0.629793
236.0,0.628918
238.0,0.629694
240.0,0.629018
242.0,0.628407
244.0,0.627796
246.0,0.62796
248.0,0.62794
250.0,0.627413
252.0,0.627251
254.0,0.627108
256.0,0.627319
258.0,0.626975
260.0,0.627464
262.0,0.625897
264.0,0.626173
266.0,0.626053
268.0,0.625301
270.0,0.625293
272.0,0.625724
274.0,0.625108
276.0,0.624989
278.0,0.624965
280.0,0.625136
282.0,0.625339
284.0,0.625442
286.0,0.624563
288.0,0.624184
290.0,0.624843
292.0,0.624568
294.0,0.624251
296.0,0.624041
298.0,0.623451
300.0,0.62385
302.0,0.624138
304.0,0.624033
306.0,0.624124
308.0,0.62411
310.0,0.623761
312.0,0.624479
314.0,0.625002
316.0,0.623255
318.0,0.624257
320.0,0.623329
322.0,0.623719
324.0,0.62436
326.0,0.623573
328.0,0.622993
330.0,0.624497
332.0,0.624322
334.0,0.623345
336.0,0.623157
338.0,0.62379
340.0,0.622903
342.0,0.624146
344.0,0.623843
346.0,0.624049
348.0,0.62437
350.0,0.623722
352.0,0.624454
354.0,0.623402
356.0,0.624698
358.0,0.623919
360.0,0.6236
362.0,0.624087
364.0,0.623964
366.0,0.623493
368.0,0.623723
370.0,0.623649
372.0,0.62461
374.0,0.624826
376.0,0.624039
378.0,0.624036
380.0,0.623603
382.0,0.624268
384.0,0.624663
386.0,0.625092
390.0,0.625619
392.0,0.623958
394.0,0.625401
396.0,0.624898
398.0,0.625359
400.0,0.625773
402.0,0.625576
404.0,0.624805
406.0,0.625983
408.0,0.626014
410.0,0.625606
412.0,0.62566
414.0,0.625679
416.0,0.62601
418.0,0.625245
420.0,0.626319
422.0,0.626566
424.0,0.627353
426.0,0.626149
428.0,0.627793
430.0,0.627248
432.0,0.627151
434.0,0.62737
436.0,0.626816
438.0,0.628086
440.0,0.627054
442.0,0.627838
444.0,0.628706
446.0,0.628332
448.0,0.628721
450.0,0.628659
452.0,0.629524
454.0,0.629452
456.0,0.6301
458.0,0.628863
460.0,0.628954
462.0,0.629074
464.0,0.62998
466.0,0.630485
468.0,0.63045
470.0,0.630166
472.0,0.630728
474.0,0.630805
476.0,0.631572
478.0,0.631236
480.0,0.631958
482.0,0.63043
484.0,0.631762
486.0,0.631848
488.0,0.63242
490.0,0.633311
492.0,0.632801
494.0,0.632679
496.0,0.63258
498.0,0.633484
500.0,0.63356
502.0,0.633388
504.0,0.633624
506.0,0.634551
508.0,0.635111
510.0,0.634347
512.0,0.63481
514.0,0.635111
516.0,0.635626
518.0,0.635966
520.0,0.636416
522.0,0.635962
524.0,0.636976
526.0,0.636659
528.0,0.635754
530.0,0.63746
532.0,0.637006
534.0,0.637976
536.0,0.637646
538.0,0.637933
540.0,0.63911
542.0,0.639232
544.0,0.639645
546.0,0.639467
548.0,0.639748
550.0,0.64027
552.0,0.639835
554.0,0.640674
556.0,0.640318
558.0,0.640962
560.0,0.641359
562.0,0.641887
564.0,0.642485
566.0,0.642506
568.0,0.642767
570.0,0.64269
572.0,0.641744
574.0,0.644054
576.0,0.643993
578.0,0.644431
580.0,0.645026
582.0,0.645329
584.0,0.645552
586.0,0.644864
588.0,0.645837
590.0,0.645651
592.0,0.646032
594.0,0.647062
596.0,0.647912
598.0,0.648176
600.0,0.647525
604.0,0.648285
606.0,0.647953
610.0,0.650177
612.0,0.650257
616.0,0.650478
618.0,0.651328
622.0,0.651649
624.0,0.652408
626.0,0.651499
628.0,0.652125
630.0,0.653239
632.0,0.653128
634.0,0.654985
636.0,0.654835
638.0,0.655156
640.0,0.655598
642.0,0.656445
644.0,0.656662
646.0,0.656506
648.0,0.656959
650.0,0.657826
652.0,0.657343
654.0,0.657817
656.0,0.658788
658.0,0.658424
660.0,0.660322
662.0,0.660123
664.0,0.659829
666.0,0.660928
668.0,0.660894
670.0,0.661253
672.0,0.661686
674.0,0.662666
676.0,0.663453
678.0,0.66244
680.0,0.664003
682.0,0.663703
684.0,0.665098
686.0,0.665577
688.0,0.666829
690.0,0.66686
692.0,0.667584
694.0,0.667316
696.0,0.667848
698.0,0.668415
700.0,0.668925
702.0,0.66968
704.0,0.669441
706.0,0.670699
708.0,0.670921
710.0,0.67146
712.0,0.671902
714.0,0.67243
716.0,0.673747
718.0,0.672998
720.0,0.674391
722.0,0.674348
724.0,0.674152
726.0,0.675288
728.0,0.675996
730.0,0.676127
732.0,0.677618
734.0,0.678479
736.0,0.678821
738.0,0.678699
740.0,0.680085
742.0,0.67976
