Distance,Entropy
152.0,0.66295
154.0,0.663139
156.0,0.66166
158.0,0.65946
160.0,0.658248
162.0,0.657714
164.0,0.656126
166.0,0.655435
168.0,0.65486
170.0,0.653576
172.0,0.652638
174.0,0.651602
176.0,0.651331
178.0,0.650648
180.0,0.650086
182.0,0.649338
184.0,0.650848
186.0,0.647647
188.0,0.648626
190.0,0.647292
192.0,0.646325
194.0,0.646543
196.0,0.64497
198.0,0.644324
200.0,0.643732
202.0,0.643894
204.0,0.643713
206.0,0.643705
208.0,0.642797
210.0,0.642868
212.0,0.642616
214.0,0.640923
216.0,0.640743
218.0,0.640247
220.0,0.639796
222.0,0.639375
224.0,0.639955
226.0,0.6387
228.0,0.638742
230.0,0.638696
232.0,0.637059
234.0,0.637231
236.0,0.637224
238.0,0.637068
240.0,0.637443
242.0,0.637161
244.0,0.636367
246.0,0.6359
248.0,0.635545
250.0,0.635493
252.0,0.636306
254.0,0.634933
256.0,0.635614
258.0,0.634699
260.0,0.63444
262.0,0.635172
264.0,0.633632
266.0,0.633192
268.0,0.634331
270.0,0.633294
272.0,0.634265
274.0,0.633701
276.0,0.633136
278.0,0.633514
280.0,0.63313
282.0,0.633566
284.0,0.632541
286.0,0.632688
288.0,0.632945
290.0,0.632767
292.0,0.632498
294.0,0.631934
296.0,0.632181
298.0,0.631997
300.0,0.632252
302.0,0.632468
304.0,0.631715
306.0,0.632267
308.0,0.632915
310.0,0.632019
312.0,0.631428
314.0,0.631548
316.0,0.631485
318.0,0.632229
320.0,0.631201
322.0,0.631623
324.0,0.631465
326.0,0.631713
328.0,0.631431
330.0,0.631668
332.0,0.631409
334.0,0.632432
336.0,0.63205
338.0,0.631205
340.0,0.632008
342.0,0.631621
344.0,0.631994
346.0,0.630849
348.0,0.632533
350.0,0.631495
352.0,0.630707
354.0,0.631095
356.0,0.631442
358.0,0.632242
360.0,0.631091
362.0,0.631707
364.0,0.632319
366.0,0.631228
368.0,0.631839
370.0,0.632448
372.0,0.632347
374.0,0.631685
376.0,0.632657
378.0,0.63177
380.0,0.632462
382.0,0.632928
384.0,0.631601
386.0,0.631224
388.0,0.632877
390.0,0.631834
392.0,0.632838
394.0,0.632928
396.0,0.632854
398.0,0.632265
400.0,0.633349
402.0,0.631863
404.0,0.633917
406.0,0.63397
408.0,0.632858
410.0,0.633654
412.0,0.633557
414.0,0.633102
416.0,0.633788
418.0,0.633304
420.0,0.633491
422.0,0.634078
424.0,0.634197
426.0,0.634564
428.0,0.633747
430.0,0.633865
432.0,0.634638
434.0,0.63481
436.0,0.635102
438.0,0.635102
440.0,0.634661
442.0,0.635082
444.0,0.635797
446.0,0.635626
448.0,0.635054
450.0,0.635315
452.0,0.635624
454.0,0.636216
456.0,0.637055
458.0,0.637207
460.0,0.636973
462.0,0.6369
464.0,0.636914
466.0,0.637569
468.0,0.636643
470.0,0.636764
472.0,0.637213
474.0,0.638558
476.0,0.637468
478.0,0.637992
480.0,0.637642
482.0,0.638186
484.0,0.63899
486.0,0.638913
488.0,0.638082
490.0,0.638924
492.0,0.638789
494.0,0.639372
496.0,0.639082
498.0,0.640173
500.0,0.640098
502.0,0.639723
504.0,0.640385
506.0,0.640389
508.0,0.641211
510.0,0.640599
512.0,0.641656
514.0,0.641712
516.0,0.641858
518.0,0.642643
520.0,0.642549
522.0,0.641764
524.0,0.642672
526.0,0.642737
528.0,0.643035
530.0,0.642867
532.0,0.643305
534.0,0.643838
536.0,0.644386
538.0,0.643993
540.0,0.644834
542.0,0.645118
544.0,0.644389
546.0,0.645269
548.0,0.645066
550.0,0.645765
552.0,0.646411
554.0,0.646533
556.0,0.646838
558.0,0.647025
560.0,0.647823
562.0,0.647511
564.0,0.64748
566.0,0.647449
568.0,0.648197
570.0,0.648445
572.0,0.648772
574.0,0.648236
576.0,0.649498
578.0,0.650013
580.0,0.649882
582.0,0.650405
584.0,0.650935
586.0,0.651353
588.0,0.650804
590.0,0.650917
592.0,0.651455
594.0,0.652503
596.0,0.652188
598.0,0.653153
600.0,0.652558
602.0,0.654122
604.0,0.654358
606.0,0.653901
608.0,0.654373
610.0,0.654215
612.0,0.654424
614.0,0.654832
616.0,0.656137
618.0,0.656048
620.0,0.656801
622.0,0.65618
624.0,0.657046
626.0,0.657614
628.0,0.658035
630.0,0.658933
632.0,0.658737
634.0,0.657762
636.0,0.659371
638.0,0.658704
640.0,0.659462
642.0,0.660136
644.0,0.660312
646.0,0.660714
648.0,0.661263
650.0,0.661387
652.0,0.661435
654.0,0.662358
656.0,0.662666
658.0,0.662079
660.0,0.663954
662.0,0.664445
664.0,0.664414
666.0,0.664285
668.0,0.663751
670.0,0.665647
672.0,0.666115
674.0,0.667259
676.0,0.666999
678.0,0.667109
680.0,0.667514
682.0,0.668644
684.0,0.668833
686.0,0.669183
688.0,0.669598
690.0,0.669532
692.0,0.670292
694.0,0.670064
696.0,0.671483
698.0,0.67135
700.0,0.672212
702.0,0.671547
704.0,0.672947
706.0,0.673452
708.0,0.67438
710.0,0.673881
712.0,0.674172
714.0,0.675637
716.0,0.676271
718.0,0.676653
720.0,0.676882
722.0,0.677593
724.0,0.677585
726.0,0.677559
728.0,0.679226
730.0,0.678624
732.0,0.680021
734.0,0.680302
736.0,0.680722
738.0,0.68171
740.0,0.681519
742.0,0.682742
744.0,0.683516
746.0,0.684041
748.0,0.683323
750.0,0.684642
752.0,0.684704
754.0,0.684878
756.0,0.686744
758.0,0.686346
760.0,0.687041
762.0,0.688576
764.0,0.688086
