Distance,Entropy
152.0,0.6566
154.0,0.6515
156.0,0.65298
162.0,0.6491
168.0,0.64579
174.0,0.64584
180.0,0.6449
186.0,0.64141
190.0,0.64016
196.0,0.63507
202.0,0.63424
206.0,0.63662
212.0,0.63293
218.0,0.6336
224.0,0.63081
228.0,0.63405
234.0,0.63024
240.0,0.6271
244.0,0.627
250.0,0.62905
256.0,0.62455
260.0,0.62851
266.0,0.62806
272.0,0.62544
278.0,0.62695
284.0,0.62529
290.0,0.6265
294.0,0.62467
300.0,0.62497
304.0,0.62544
310.0,0.62531
314.0,0.62625
320.0,0.62675
326.0,0.62539
330.0,0.62364
334.0,0.6233
340.0,0.62168
346.0,0.62341
352.0,0.62393
356.0,0.624
358.0,0.62275
360.0,0.62313
362.0,0.62184
364.0,0.62563
366.0,0.62589
368.0,0.62598
370.0,0.62365
372.0,0.62175
376.0,0.62218
382.0,0.62506
388.0,0.62417
392.0,0.62497
398.0,0.624
402.0,0.62366
408.0,0.62693
414.0,0.6264
418.0,0.62685
422.0,0.6254
428.0,0.62931
434.0,0.62925
438.0,0.63045
444.0,0.62961
448.0,0.63014
454.0,0.63075
458.0,0.63053
464.0,0.63177
468.0,0.63081
472.0,0.63161
478.0,0.63089
484.0,0.63214
488.0,0.63289
492.0,0.63143
498.0,0.63549
502.0,0.63305
508.0,0.63574
514.0,0.63507
518.0,0.63558
524.0,0.63295
530.0,0.63937
534.0,0.64081
540.0,0.63971
546.0,0.63918
550.0,0.63951
554.0,0.64039
560.0,0.6396
568.0,0.64225
572.0,0.64397
576.0,0.64536
582.0,0.64309
586.0,0.64648
592.0,0.6434
598.0,0.64758
602.0,0.64843
608.0,0.65148
612.0,0.65056
618.0,0.65343
622.0,0.65012
628.0,0.65291
632.0,0.65367
638.0,0.65558
642.0,0.65607
648.0,0.65514
654.0,0.65822
660.0,0.65728
664.0,0.66263
670.0,0.65923
674.0,0.66066
680.0,0.66631
684.0,0.66653
688.0,0.66608
694.0,0.66858
700.0,0.67008
704.0,0.67073
710.0,0.67083
714.0,0.67291
718.0,0.6752
724.0,0.67523
730.0,0.67842
734.0,0.67886
738.0,0.67871
744.0,0.68218
740.0,0.68112
736.0,0.67765
