Distance,Entropy
152.0,0.663944
156.0,0.661885
160.0,0.659052
164.0,0.656956
168.0,0.655929
172.0,0.653026
176.0,0.651724
180.0,0.651075
184.0,0.649693
188.0,0.647783
192.0,0.646032
196.0,0.645604
200.0,0.644596
204.0,0.643557
208.0,0.642647
212.0,0.642187
216.0,0.64039
220.0,0.640242
224.0,0.639211
228.0,0.638881
232.0,0.639197
236.0,0.637567
240.0,0.636816
244.0,0.636948
248.0,0.635157
252.0,0.634997
256.0,0.636114
260.0,0.634581
264.0,0.63452
268.0,0.633935
272.0,0.633315
276.0,0.633675
280.0,0.632535
284.0,0.633243
288.0,0.633413
292.0,0.632885
296.0,0.631847
300.0,0.632426
304.0,0.631901
308.0,0.631646
312.0,0.631675
316.0,0.632393
320.0,0.631781
324.0,0.63236
328.0,0.631734
332.0,0.631688
336.0,0.631314
340.0,0.630929
344.0,0.631573
348.0,0.632011
352.0,0.631427
356.0,0.631429
360.0,0.630846
364.0,0.630801
368.0,0.631248
372.0,0.631942
376.0,0.632619
380.0,0.632935
384.0,0.632359
388.0,0.632231
392.0,0.632745
396.0,0.632825
400.0,0.632848
404.0,0.6335
408.0,0.633194
412.0,0.633057
416.0,0.633375
420.0,0.63407
424.0,0.634038
428.0,0.634231
432.0,0.635187
436.0,0.634297
440.0,0.63473
444.0,0.635355
448.0,0.635652
452.0,0.635947
456.0,0.636418
460.0,0.636585
464.0,0.637374
468.0,0.637201
472.0,0.636762
476.0,0.637388
480.0,0.638569
484.0,0.639254
488.0,0.63837
492.0,0.639463
496.0,0.640063
500.0,0.640164
504.0,0.639979
508.0,0.641077
512.0,0.641091
516.0,0.641962
520.0,0.642088
524.0,0.641834
528.0,0.642974
532.0,0.642824
536.0,0.644522
540.0,0.645138
544.0,0.645552
548.0,0.645798
552.0,0.646742
556.0,0.647637
560.0,0.647821
564.0,0.647249
568.0,0.648678
572.0,0.648766
576.0,0.649881
580.0,0.649808
584.0,0.65035
588.0,0.651267
592.0,0.651551
596.0,0.652561
600.0,0.65292
604.0,0.65359
608.0,0.653374
612.0,0.655215
616.0,0.65619
620.0,0.656231
624.0,0.655824
628.0,0.659126
632.0,0.658046
636.0,0.659254
640.0,0.659937
644.0,0.660567
648.0,0.66057
652.0,0.662407
656.0,0.662221
660.0,0.664303
664.0,0.66524
668.0,0.665205
672.0,0.666324
676.0,0.666497
680.0,0.667685
684.0,0.668405
688.0,0.67019
692.0,0.670665
696.0,0.670883
700.0,0.671699
704.0,0.672512
708.0,0.674108
712.0,0.674824
716.0,0.675102
720.0,0.676972
724.0,0.678186
728.0,0.678932
732.0,0.679841
736.0,0.680968
740.0,0.681466
744.0,0.682971
748.0,0.683683
752.0,0.684913
756.0,0.685402
760.0,0.687125
764.0,0.689705
