Distance,Entropy
152.0,0.663887
154.0,0.662277
156.0,0.660317
158.0,0.660312
160.0,0.658403
162.0,0.657502
164.0,0.65666
166.0,0.656529
168.0,0.655345
170.0,0.65422
172.0,0.652941
174.0,0.652441
176.0,0.651474
178.0,0.651235
180.0,0.650667
182.0,0.650018
184.0,0.648944
186.0,0.648217
188.0,0.648393
190.0,0.647025
192.0,0.646942
194.0,0.645308
196.0,0.644995
198.0,0.644301
200.0,0.643994
202.0,0.643587
204.0,0.644508
206.0,0.643007
208.0,0.641984
212.0,0.641314
214.0,0.641251
216.0,0.640715
218.0,0.641148
220.0,0.639569
222.0,0.639352
224.0,0.638783
226.0,0.639078
228.0,0.638571
230.0,0.638954
232.0,0.637426
234.0,0.638022
236.0,0.637678
238.0,0.636862
240.0,0.636896
242.0,0.636717
244.0,0.636542
246.0,0.635662
248.0,0.63605
250.0,0.6355
254.0,0.635474
256.0,0.635261
258.0,0.635326
260.0,0.634691
262.0,0.634803
264.0,0.634687
266.0,0.634548
268.0,0.634362
270.0,0.633767
272.0,0.633466
274.0,0.6337
276.0,0.633925
278.0,0.632897
280.0,0.633004
282.0,0.633517
284.0,0.632816
286.0,0.632546
288.0,0.632655
290.0,0.633007
292.0,0.632103
294.0,0.632615
296.0,0.632433
298.0,0.631455
300.0,0.632075
302.0,0.631771
304.0,0.632798
306.0,0.631685
308.0,0.632225
310.0,0.632522
312.0,0.63175
314.0,0.631922
316.0,0.632138
318.0,0.631616
320.0,0.632055
322.0,0.632089
324.0,0.630798
326.0,0.630815
328.0,0.632143
330.0,0.631891
332.0,0.631345
334.0,0.631291
336.0,0.631185
338.0,0.631473
340.0,0.631354
342.0,0.631274
344.0,0.63113
346.0,0.631366
348.0,0.63195
350.0,0.63187
352.0,0.631349
354.0,0.632475
356.0,0.632055
358.0,0.631742
360.0,0.631096
362.0,0.632033
364.0,0.631151
366.0,0.631597
368.0,0.632577
370.0,0.631177
372.0,0.631338
374.0,0.631757
376.0,0.63193
378.0,0.631752
380.0,0.631979
382.0,0.632019
384.0,0.631629
386.0,0.63164
388.0,0.630781
390.0,0.631519
392.0,0.632752
394.0,0.632193
396.0,0.632905
398.0,0.632022
400.0,0.632148
402.0,0.63306
404.0,0.632202
406.0,0.633208
408.0,0.633275
410.0,0.633529
412.0,0.632916
414.0,0.634144
416.0,0.633436
418.0,0.634262
420.0,0.633449
422.0,0.633609
424.0,0.635369
426.0,0.634269
428.0,0.634094
430.0,0.634309
432.0,0.634998
434.0,0.635311
436.0,0.634847
438.0,0.634744
440.0,0.634333
442.0,0.635722
444.0,0.635285
446.0,0.634898
448.0,0.635398
450.0,0.635928
452.0,0.636032
454.0,0.635485
456.0,0.636971
458.0,0.636644
460.0,0.636182
462.0,0.636943
464.0,0.636754
466.0,0.637281
468.0,0.637136
470.0,0.636666
472.0,0.637825
474.0,0.636735
476.0,0.637768
478.0,0.638322
480.0,0.638837
482.0,0.637472
484.0,0.639177
486.0,0.638843
488.0,0.639247
490.0,0.639869
492.0,0.638658
494.0,0.639119
496.0,0.639579
498.0,0.639495
500.0,0.640168
502.0,0.640531
504.0,0.640371
506.0,0.641334
508.0,0.640879
510.0,0.641107
512.0,0.641551
514.0,0.640724
516.0,0.641328
518.0,0.641696
520.0,0.64182
522.0,0.642549
524.0,0.64257
526.0,0.642939
528.0,0.643669
530.0,0.64343
532.0,0.643862
534.0,0.643176
536.0,0.644262
538.0,0.644326
540.0,0.644276
542.0,0.644601
544.0,0.645089
546.0,0.644948
548.0,0.64562
550.0,0.64627
552.0,0.646075
554.0,0.646508
556.0,0.646794
558.0,0.646602
560.0,0.646807
562.0,0.647299
566.0,0.647822
568.0,0.648172
570.0,0.648525
572.0,0.648824
574.0,0.649046
576.0,0.649919
578.0,0.650683
580.0,0.649318
582.0,0.650325
584.0,0.649559
586.0,0.650697
588.0,0.651742
590.0,0.651285
592.0,0.652285
594.0,0.65123
596.0,0.651434
598.0,0.653352
600.0,0.653388
602.0,0.653556
604.0,0.653864
606.0,0.654505
608.0,0.654154
610.0,0.654795
612.0,0.654986
614.0,0.655034
616.0,0.655774
618.0,0.656505
620.0,0.656212
622.0,0.656079
624.0,0.657449
626.0,0.656639
628.0,0.65695
630.0,0.658068
632.0,0.658291
634.0,0.657836
636.0,0.659234
638.0,0.658969
640.0,0.659524
642.0,0.661623
644.0,0.659648
646.0,0.660736
648.0,0.660966
650.0,0.660973
652.0,0.662216
654.0,0.662578
656.0,0.662599
658.0,0.663935
660.0,0.662529
662.0,0.664649
664.0,0.664703
666.0,0.665353
668.0,0.665045
670.0,0.665009
672.0,0.66621
674.0,0.665677
676.0,0.666713
678.0,0.667326
680.0,0.668287
682.0,0.667688
684.0,0.668298
686.0,0.669025
688.0,0.669935
690.0,0.669464
692.0,0.669687
694.0,0.671132
696.0,0.67043
698.0,0.671425
700.0,0.671304
702.0,0.672842
704.0,0.673109
706.0,0.673624
708.0,0.674489
710.0,0.673863
712.0,0.673789
714.0,0.674483
716.0,0.675531
718.0,0.676268
720.0,0.677283
722.0,0.677082
724.0,0.677725
726.0,0.678852
728.0,0.67862
730.0,0.680395
732.0,0.679419
734.0,0.680347
736.0,0.679979
738.0,0.680209
740.0,0.681602
742.0,0.682039
744.0,0.682243
746.0,0.682784
748.0,0.68416
750.0,0.684638
752.0,0.685242
754.0,0.68591
756.0,0.687001
758.0,0.687215
760.0,0.686906
762.0,0.687968
764.0,0.687759

