Distance,Entropy
152.0,0.663954
154.0,0.662617
156.0,0.660565
158.0,0.660268
160.0,0.658601
162.0,0.657964
164.0,0.657086
166.0,0.656053
168.0,0.655483
170.0,0.65373
172.0,0.652612
174.0,0.652591
176.0,0.651575
178.0,0.651831
180.0,0.65028
182.0,0.649999
184.0,0.648312
186.0,0.648368
188.0,0.646885
190.0,0.646824
192.0,0.645873
194.0,0.64581
196.0,0.645634
198.0,0.645189
200.0,0.644469
202.0,0.642764
204.0,0.643535
206.0,0.643669
208.0,0.642759
210.0,0.642286
212.0,0.641389
214.0,0.640964
216.0,0.63999
218.0,0.640168
220.0,0.640056
222.0,0.639258
224.0,0.639747
226.0,0.638795
228.0,0.638506
230.0,0.637397
232.0,0.637744
234.0,0.637804
236.0,0.636923
238.0,0.638097
240.0,0.636518
242.0,0.637869
244.0,0.636617
246.0,0.636299
248.0,0.63581
250.0,0.636211
252.0,0.634948
254.0,0.635635
256.0,0.635454
258.0,0.634896
260.0,0.634967
262.0,0.633992
264.0,0.635361
266.0,0.634245
268.0,0.633394
270.0,0.634293
272.0,0.633666
274.0,0.634291
276.0,0.633129
278.0,0.632865
280.0,0.633049
282.0,0.634314
284.0,0.632759
286.0,0.633186
288.0,0.632725
290.0,0.633929
292.0,0.632909
294.0,0.63345
296.0,0.632212
298.0,0.632038
300.0,0.632106
302.0,0.631893
304.0,0.632445
306.0,0.632776
308.0,0.632369
310.0,0.632065
312.0,0.631238
314.0,0.632617
316.0,0.63162
318.0,0.631642
320.0,0.631021
322.0,0.631322
324.0,0.631852
326.0,0.630958
328.0,0.631637
330.0,0.631303
332.0,0.630916
334.0,0.631501
336.0,0.631202
338.0,0.631636
340.0,0.631363
342.0,0.631112
344.0,0.630889
346.0,0.630251
348.0,0.630911
350.0,0.631269
352.0,0.63224
354.0,0.630646
356.0,0.631574
358.0,0.631842
360.0,0.631686
362.0,0.630939
364.0,0.632161
366.0,0.631727
368.0,0.631057
370.0,0.631082
372.0,0.632395
374.0,0.631576
376.0,0.631847
378.0,0.63199
380.0,0.631905
382.0,0.632609
384.0,0.631394
386.0,0.632402
388.0,0.633017
390.0,0.632455
392.0,0.632547
394.0,0.632431
396.0,0.633002
398.0,0.633468
400.0,0.631986
402.0,0.632588
404.0,0.632695
406.0,0.633587
408.0,0.632874
410.0,0.632807
412.0,0.633078
414.0,0.632666
416.0,0.634351
418.0,0.63346
420.0,0.633543
422.0,0.634386
424.0,0.633888
426.0,0.635017
428.0,0.634654
430.0,0.634497
432.0,0.634892
434.0,0.634507
436.0,0.635014
438.0,0.634457
440.0,0.634616
442.0,0.634769
444.0,0.634294
446.0,0.636228
448.0,0.635086
450.0,0.636248
452.0,0.636149
454.0,0.636399
456.0,0.636358
458.0,0.636576
460.0,0.636219
462.0,0.636494
464.0,0.637333
466.0,0.636599
468.0,0.637215
470.0,0.636954
472.0,0.637459
474.0,0.637502
476.0,0.637308
478.0,0.637973
480.0,0.638065
482.0,0.6391
484.0,0.638208
486.0,0.637257
488.0,0.638778
490.0,0.639941
492.0,0.638581
494.0,0.640459
496.0,0.639334
498.0,0.639698
500.0,0.640213
502.0,0.639427
504.0,0.640101
506.0,0.640367
508.0,0.640463
510.0,0.641713
512.0,0.640793
514.0,0.640815
516.0,0.641789
518.0,0.642021
520.0,0.642148
522.0,0.642338
524.0,0.642963
526.0,0.642558
528.0,0.643597
530.0,0.643791
532.0,0.643908
534.0,0.642907
536.0,0.643683
538.0,0.644864
540.0,0.645155
542.0,0.644785
544.0,0.644883
546.0,0.645005
548.0,0.646178
550.0,0.645089
552.0,0.646134
554.0,0.645595
556.0,0.646129
558.0,0.646631
560.0,0.647229
562.0,0.647063
564.0,0.647913
566.0,0.64791
568.0,0.648637
570.0,0.648062
572.0,0.649533
574.0,0.648472
576.0,0.649739
578.0,0.649045
580.0,0.649831
582.0,0.649842
584.0,0.650669
586.0,0.651711
588.0,0.651395
590.0,0.650963
592.0,0.65261
594.0,0.651595
596.0,0.652769
598.0,0.652522
600.0,0.653011
602.0,0.653831
604.0,0.653699
606.0,0.655281
608.0,0.65404
610.0,0.654779
612.0,0.653611
614.0,0.65466
616.0,0.656114
618.0,0.656121
620.0,0.656302
622.0,0.656996
624.0,0.656494
626.0,0.658335
628.0,0.657199
630.0,0.658319
632.0,0.658443
634.0,0.658893
636.0,0.659556
638.0,0.658909
640.0,0.659882
642.0,0.660674
644.0,0.662036
646.0,0.661706
648.0,0.661219
650.0,0.662028
652.0,0.662431
654.0,0.662316
656.0,0.662538
658.0,0.663775
660.0,0.664104
662.0,0.664418
664.0,0.664481
666.0,0.664721
668.0,0.66507
670.0,0.664815
672.0,0.665132
674.0,0.666469
676.0,0.666541
678.0,0.667048
680.0,0.667897
682.0,0.667919
684.0,0.668564
686.0,0.668274
688.0,0.66941
690.0,0.669907
692.0,0.670159
694.0,0.670635
696.0,0.670502
698.0,0.671922
700.0,0.671614
702.0,0.672951
704.0,0.672783
706.0,0.673447
708.0,0.673588
710.0,0.674103
712.0,0.674794
714.0,0.675343
716.0,0.675303
718.0,0.675246
720.0,0.676827
722.0,0.677394
724.0,0.677298
726.0,0.678349
728.0,0.678908
730.0,0.679376
732.0,0.678978
734.0,0.679707
736.0,0.681257
738.0,0.681077
740.0,0.681765
742.0,0.681931
744.0,0.683113
746.0,0.683607
748.0,0.683293
750.0,0.684614
752.0,0.685291
754.0,0.685652
756.0,0.685984
758.0,0.686615
760.0,0.686979
762.0,0.687916
764.0,0.688799
