Distance,Entropy
152.0,0.663691
156.0,0.661334
160.0,0.658488
164.0,0.657062
168.0,0.654633
172.0,0.653523
176.0,0.651427
180.0,0.651076
184.0,0.648916
188.0,0.646838
192.0,0.64642
196.0,0.645568
200.0,0.644477
204.0,0.6432
208.0,0.642659
212.0,0.640978
216.0,0.641075
220.0,0.640355
224.0,0.639664
228.0,0.638951
232.0,0.638594
236.0,0.636796
240.0,0.6371
244.0,0.636525
248.0,0.636092
252.0,0.635762
256.0,0.635187
260.0,0.634893
264.0,0.635105
268.0,0.63407
272.0,0.635139
276.0,0.63358
280.0,0.632812
284.0,0.633041
288.0,0.633107
292.0,0.631328
296.0,0.633168
300.0,0.63206
304.0,0.632482
308.0,0.631724
312.0,0.631822
316.0,0.631662
320.0,0.631276
324.0,0.631879
328.0,0.631649
332.0,0.630395
336.0,0.63107
340.0,0.631875
344.0,0.63116
348.0,0.631351
352.0,0.630934
356.0,0.63122
360.0,0.631708
364.0,0.63075
368.0,0.631089
372.0,0.63151
376.0,0.632668
380.0,0.632037
384.0,0.631853
388.0,0.632343
392.0,0.632516
396.0,0.632245
400.0,0.632361
404.0,0.632809
408.0,0.63253
412.0,0.633736
416.0,0.633416
420.0,0.633741
424.0,0.633526
428.0,0.633979
432.0,0.635022
436.0,0.635494
440.0,0.63494
444.0,0.635049
448.0,0.635142
452.0,0.635346
456.0,0.6362
460.0,0.636402
464.0,0.636404
468.0,0.637121
472.0,0.63678
476.0,0.638376
480.0,0.637373
484.0,0.638661
488.0,0.639337
492.0,0.639398
496.0,0.639712
500.0,0.639983
504.0,0.640368
508.0,0.63975
512.0,0.640913
516.0,0.641701
520.0,0.642522
524.0,0.643006
528.0,0.643546
532.0,0.643208
536.0,0.644382
540.0,0.644304
544.0,0.645065
548.0,0.646178
552.0,0.645477
556.0,0.646846
560.0,0.647144
564.0,0.647634
568.0,0.648111
572.0,0.64889
576.0,0.649635
580.0,0.65023
584.0,0.650804
588.0,0.650956
592.0,0.65072
596.0,0.651897
600.0,0.653486
604.0,0.653322
608.0,0.654726
612.0,0.655348
616.0,0.655072
620.0,0.656105
624.0,0.657069
628.0,0.658039
632.0,0.658485
636.0,0.659772
640.0,0.659329
644.0,0.660128
648.0,0.661407
652.0,0.662193
656.0,0.663
660.0,0.66456
664.0,0.664334
668.0,0.664719
672.0,0.666039
676.0,0.666473
680.0,0.668408
684.0,0.66796
688.0,0.669043
692.0,0.669875
696.0,0.670767
700.0,0.671713
704.0,0.672
708.0,0.673859
712.0,0.675028
716.0,0.675845
720.0,0.676337
724.0,0.67724
728.0,0.678725
732.0,0.679808
736.0,0.680199
740.0,0.680968
744.0,0.683202
748.0,0.684488
752.0,0.684898
756.0,0.685576
760.0,0.687081
764.0,0.688968

