Distance,Entropy
152.0,0.663871
156.0,0.661048
160.0,0.658522
164.0,0.656892
168.0,0.655147
172.0,0.653311
176.0,0.651803
180.0,0.649881
184.0,0.649
188.0,0.648287
192.0,0.64622
196.0,0.645166
200.0,0.644404
204.0,0.643397
208.0,0.642262
212.0,0.641198
216.0,0.64107
220.0,0.640146
224.0,0.639188
228.0,0.638664
232.0,0.638656
236.0,0.637754
240.0,0.637698
244.0,0.637285
248.0,0.635539
252.0,0.635438
256.0,0.635612
260.0,0.635603
264.0,0.634053
268.0,0.634027
272.0,0.633858
276.0,0.63343
280.0,0.633291
284.0,0.633709
288.0,0.632573
292.0,0.632314
296.0,0.631734
300.0,0.631801
304.0,0.631333
308.0,0.632062
312.0,0.631403
316.0,0.631164
320.0,0.632176
324.0,0.631794
328.0,0.630949
332.0,0.631207
336.0,0.630924
340.0,0.630942
344.0,0.631594
348.0,0.631267
352.0,0.631228
356.0,0.630822
360.0,0.631418
364.0,0.63204
368.0,0.631334
372.0,0.631327
376.0,0.632359
380.0,0.631078
384.0,0.631734
388.0,0.632804
392.0,0.631747
396.0,0.631839
400.0,0.633472
404.0,0.6328
408.0,0.632526
412.0,0.633519
416.0,0.634368
420.0,0.633533
424.0,0.634008
428.0,0.634704
432.0,0.635139
436.0,0.63448
440.0,0.634816
444.0,0.635901
448.0,0.635977
452.0,0.635787
456.0,0.636411
460.0,0.636666
464.0,0.637257
468.0,0.637652
472.0,0.637297
476.0,0.637948
480.0,0.638479
484.0,0.639206
488.0,0.6388
492.0,0.639127
496.0,0.639656
500.0,0.64069
504.0,0.639502
508.0,0.640137
512.0,0.641541
516.0,0.641441
520.0,0.642719
524.0,0.643068
528.0,0.643457
532.0,0.643619
536.0,0.644186
540.0,0.644249
544.0,0.644774
548.0,0.645517
552.0,0.646658
556.0,0.646901
560.0,0.647833
564.0,0.647477
568.0,0.648561
572.0,0.648369
576.0,0.649443
580.0,0.649916
584.0,0.650535
588.0,0.650431
592.0,0.65212
596.0,0.653153
600.0,0.652662
604.0,0.653688
608.0,0.653134
612.0,0.654987
616.0,0.65527
620.0,0.656004
624.0,0.657487
628.0,0.658118
632.0,0.657785
636.0,0.658874
640.0,0.660438
644.0,0.66024
648.0,0.661894
652.0,0.66184
656.0,0.662547
660.0,0.663677
664.0,0.664993
668.0,0.665139
672.0,0.666119
676.0,0.667387
680.0,0.666646
684.0,0.668174
688.0,0.669344
692.0,0.671239
696.0,0.67075
700.0,0.672159
704.0,0.67196
708.0,0.673828
712.0,0.673529
716.0,0.675756
720.0,0.677444
724.0,0.677295
728.0,0.678084
732.0,0.67886
736.0,0.681002
740.0,0.680707
744.0,0.682342
748.0,0.683799
752.0,0.68429
756.0,0.686442
760.0,0.687158
764.0,0.688217
